m,aw,origin
15.1,0.523,30
15.5,0.537,30
16.2,0.543,30
17.1,0.547,30
15.9,0.55,30
16.3,0.56,30
17.7,0.563,30
15.7,0.566,30
15.2,0.567,30
17.4,0.567,30
15.8,0.568,30
17.7,0.569,30
17.9,0.57,30
18.7,0.571,30
17.2,0.572,30
15.9,0.573,30
18.6,0.573,30
16.4,0.575,30
17.7,0.578,30
16.2,0.58,30
16.8,0.583,30
17.9,0.585,30
17.9,0.586,30
16.8,0.586,30
16.5,0.588,30
18.2,0.588,30
18.2,0.588,30
17.6,0.588,30
18,0.589,30
17.5,0.594,30
14.9,0.594,30
17.4,0.594,30
18.4,0.594,30
19.3,0.595,30
20.2,0.595,30
18.5,0.596,30
18.4,0.596,30
17.3,0.602,30
17.2,0.603,30
16.9,0.603,30
18.7,0.605,30
17.1,0.606,30
17.5,0.608,30
19.2,0.609,30
19.4,0.609,30
17.1,0.61,30
19.1,0.61,30
17.8,0.612,30
19.1,0.613,30
17.4,0.614,30
19.4,0.615,30
17.7,0.615,30
18.1,0.617,30
19.7,0.617,30
20,0.617,30
20.8,0.617,30
20,0.618,30
18.7,0.619,30
19.8,0.62,30
18.9,0.625,30
20.5,0.625,30
20.2,0.626,30
20,0.627,30
20.7,0.629,30
20.3,0.63,30
21.6,0.638,30
21.2,0.641,30
21.5,0.646,30
21.5,0.66,30
21.4,0.669,30
20,0.617,30
20.8,0.617,30
20,0.618,30
18.7,0.619,30
19.8,0.62,30
18.9,0.625,30
20.5,0.625,30
20.2,0.626,30
20,0.627,30
20.7,0.629,30
20.3,0.63,30
21.6,0.638,30
21.2,0.641,30
21.5,0.646,30
21.5,0.66,30
21.4,0.669,30
17.5,0.61,30
17.3,0.6,30
18.1,0.6,30
19.2,0.63,30
21.1,0.63,30
21.3,0.62,30
20.5,0.61,30
16.6,0.57,30
16.6,0.56,30
20.2,0.64,30
19.3,0.6,30
17.3,0.61,30
18.9,0.6,30
17.6,0.63,30
17,0.57,30
18,0.6,30
19.2,0.6,30
17.8,0.61,30
18.7,0.65,30
18.4,0.63,30
17.8,0.59,30
17.8,0.64,30
17.8,0.562,30
17,0.564,30
16.6,0.543,30
18.6,0.609,30
18.7,0.618,30
18.6,0.604,30
17.3,0.601,30
17.7,0.611,30
17.7,0.613,30
15.2,0.561,30
15.7,0.541,30
16.9,0.559,30
16.1,0.557,30
16.6,0.556,30
15.6,0.567,30
17.3,0.557,30
17.2,0.556,30
16.7,0.524,30
19.7,0.644,30
19.2,0.615,30
19.3,0.615,30
20.1,0.633,30
19,0.613,30
19.1,0.617,30
20,0.68,30
16.3,0.613,30
19.9,0.643,30
19.8,0.628,30
17.7,0.623,30
17.5,0.611,30
17.6,0.59,30
18.6,0.584,30
17.6,0.548,30
19.7,0.594,30
19,0.558,30
18.4,0.557,30
